"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-08-15 00:49:46"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.99674543","40.72129580","Manhattan","10012","85","KENMARE STREET","0","432487","102","05/31/2022","1","383082","15348261","Not Completed",""
" -73.99024424","40.62756540","Brooklyn","11219","1559","56 STREET","0","526118","312","05/31/2022","44","471109","7467376","Completed","2021-05-04 00:00:00"
" -73.95602260","40.78541807","Manhattan","10128","20","EAST 93 STREET","0","438515","108","05/31/2022","4","0","16390967","Not Completed",""
" -73.99137408","40.77190637","Manhattan","10019","600","WEST  59 STREET","0","704529","104","05/31/2022","6","570730","13890465","Not Completed",""
" -73.99021403","40.76990674","Manhattan","10019","533","WEST  57 STREET","0","704638","104","05/31/2022","6","570839","13477556","Not Completed",""
" -73.90749072","40.67251149","Brooklyn","11212","275","MOTHER GASTON BOULEVARD","0","494909","316","05/31/2022","37","5469384","855837","Completed","2016-04-05 00:00:00"
" -73.87377606","40.82569795","Bronx","10472","1025","MORRISON AVENUE","0","707163","209","05/31/2022","18","0","14182854","Not Completed",""
" -73.87375434","40.82560442","Bronx","10472","1025","MORRISON AVENUE","0","707164","209","05/31/2022","18","573365","14182852","Not Completed",""
" -73.87384063","40.82597609","Bronx","10472","1025","MORRISON AVENUE","0","707160","209","05/31/2022","18","0","14182857","Not Completed",""
" -73.84284782","40.82439158","Bronx","10473","805","ZEREGA AVENUE","0","707988","209","05/31/2022","18","574189","14142568","Not Completed",""
" -74.03758862","40.63225904","Brooklyn","11209","7551","SHORE ROAD","0","630109","310","05/31/2022","43","4606162","4890595","Completed","2021-05-20 00:00:00"
" -73.88212311","40.82867488","Bronx","10472","1211","COLGATE AVENUE","0","707235","209","05/31/2022","17","573436","14233410","Not Completed",""
" -74.00450201","40.73359323","Manhattan","10014","330","BLEECKER STREET","0","708682","102","05/31/2022","3","574883","16433316","Not Completed",""
" -73.95299585","40.80082869","Manhattan","10026","134","WEST 113 STREET","0","710152","110","05/31/2022","9","0","9138861","Not Completed",""
" -73.99738980","40.73936970","Manhattan","10011","135","WEST  16 STREET","0","712107","104","05/31/2022","3","578308","14559048","Not Completed",""
" -74.00231852","40.73348874","Manhattan","10014","80","GROVE STREET","0","708770","102","05/31/2022","3","574971","14526891","Not Completed",""
" -73.95436421","40.80039125","Manhattan","10026","1835","ADAM C POWELL BOULEVARD","0","710085","110","05/31/2022","9","0","9368686","Not Completed",""
" -73.99719036","40.73993981","Manhattan","10011","136","WEST  17 STREET","0","712125","104","05/31/2022","3","0","13877052","Not Completed",""
" -74.00278706","40.74306825","Manhattan","10011","350","WEST  18 STREET","0","717395","104","05/31/2022","3","583596","15947780","Not Completed",""
" -73.99789988","40.73025729","Manhattan","10012","58","WASHINGTON SQUARE SOUTH","0","712736","102","05/31/2022","1","578937","9518182","Not Completed",""
" -73.99933386","40.73096073","Manhattan","10012","40","WASHINGTON SQUARE SOUTH","0","712746","102","05/31/2022","1","578947","9518174","Not Completed",""
" -73.94604825","40.82447217","Manhattan","10031","420","WEST 145 STREET","0","721824","109","05/31/2022","7","0","14104994","Not Completed",""
" -73.94191219","40.82854195","Manhattan","10031","400","WEST 152 STREET","0","721826","109","05/31/2022","9","588027","14155387","Not Completed",""
" -73.94326782","40.82748706","Manhattan","10031","408","WEST 150 STREET","0","722033","109","05/31/2022","9","588234","14155386","Not Completed",""
" -73.94288088","40.82825628","Manhattan","10031","400","WEST 151 STREET","0","722040","109","05/31/2022","9","588241","17026420","Not Completed",""
" -74.00170842","40.74023924","Manhattan","10011","262","WEST  15 STREET","0","714633","104","05/31/2022","3","5523030","16648031","Not Completed",""
" -73.94268839","40.82862669","Manhattan","10031","488","CONVENT AVENUE","0","722683","109","05/31/2022","7","0","14247416","Not Completed",""
" -73.94724697","40.83053541","Manhattan","10031","3668","BROADWAY","0","722768","109","05/31/2022","7","588969","14891206","Not Completed",""
" -73.94452798","40.82801543","Manhattan","10031","466","WEST 150 STREET","0","724797","109","05/31/2022","7","590998","18266798","Not Completed",""
" -74.00158012","40.74266973","Manhattan","10011","317","WEST  18 STREET","0","717445","104","05/31/2022","3","5257736","14561923","Not Completed",""
" -74.00333169","40.74393820","Manhattan","10011","142","9 AVENUE","0","719535","104","05/31/2022","3","585736","15948925","Not Completed",""
" -73.94729631","40.82684174","Manhattan","10031","507","WEST 147 STREET","0","722286","109","05/31/2022","7","588487","18222416","Not Completed",""
" -73.98462116","40.77432119","Manhattan","10023","127","AMSTERDAM AVENUE","0","988082","107","05/31/2022","6","0","13899592","Not Completed",""
" -73.93820400","40.82454196","Manhattan","10039","208","WEST 149 STREET","0","830005","110","05/31/2022","9","685405","9364031","Not Completed",""
" -73.98242263","40.74429609","Manhattan","10016","115","EAST 30 STREET","0","876441","105","05/31/2022","2","0","11113645","Not Completed",""
" -73.95857149","40.76548400","Manhattan","10065","351","EAST  68 STREET","0","1209637","108","05/31/2022","5","0","16051732","Not Completed",""
" -73.94105828","40.82737136","Manhattan","10031","357","EDGECOMBE AVENUE","0","728490","109","05/31/2022","9","594691","18266801","Not Completed",""
" -73.98233478","40.73188452","Manhattan","10003","253","1 AVENUE","0","1210375","106","05/31/2022","2","1043790","15172149","Not Completed",""
" -74.00213520","40.73047681","Manhattan","10014","7","CARMINE STREET","0","1210939","102","05/31/2022","3","1044354","16432889","Not Completed",""
" -73.90095484","40.70218535","Queens","11385","68-56","FOREST AVENUE","0","1211319","405","05/31/2022","34","1044734","10254447","Completed","2022-05-24 00:00:00"
" -73.95342237","40.78104720","Manhattan","10128","160","EAST  89 STREET","0","1217976","108","05/31/2022","5","1051391","16389761","Not Completed",""
" -73.95256832","40.78325768","Manhattan","10128","145","EAST  92 STREET","0","1220917","108","05/31/2022","5","0","11017559","Not Completed",""
" -73.95342366","40.81438675","Manhattan","10027","440","WEST 129 STREET","0","1271875","109","05/31/2022","7","1109695","16644664","Not Completed",""
" -73.99933961","40.73127218","Manhattan","10011","33","WASHINGTON SQUARE WEST","0","1210781","102","05/31/2022","1","1044196","9518175","Not Completed",""
" -73.97891771","40.74940908","Manhattan","10016","67","PARK AVENUE","0","1218445","106","05/31/2022","4","0","5861153","Not Completed",""
" -73.95783439","40.80350263","Manhattan","10026","320","MANHATTAN AVENUE","0","1219073","110","05/31/2022","9","1052488","18035772","Not Completed",""
" -74.00279549","40.72865811","Manhattan","10014","251","AVENUE OF THE AMERICAS","0","1338291","102","05/31/2022","3","0","16667550","Not Completed",""
" -73.97771132","40.78193356","Manhattan","10024","160","WEST  78 STREET","0","1558550","107","05/31/2022","6","1384785","13898749","Not Completed",""
